
====== Step 1 ======
[GPU 0] Task=compute_forward      | Batch=7 UBatch=0 | Partition=0 Target=True | StartTime=1775005447.936070 | Wall=353.00 ms | CUDA=352.97 ms | ExecWall=353.00 ms | QWait=0.00 ms | SyncWait=347.13 ms | InjectedSleep=0.00 ms | Mem=592.83 MB | MaxMem=10157.09 MB | GpuUtil=82% | Power=173.96/300.00W
[GPU 0] Task=copy_model           | Batch=7 UBatch=0 | Partition=0 Target=False | StartTime=1775005448.288344 | Wall=2.15 ms | CUDA=2.09 ms | ExecWall=2.15 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=592.83 MB | MaxMem=10157.09 MB | GpuUtil=82% | Power=173.96/300.00W
[GPU 0] Task=compute_forward      | Batch=7 UBatch=0 | Partition=0 Target=False | StartTime=1775005448.317623 | Wall=70.28 ms | CUDA=70.24 ms | ExecWall=70.27 ms | QWait=0.01 ms | SyncWait=61.25 ms | InjectedSleep=0.00 ms | Mem=9804.89 MB | MaxMem=10157.09 MB | GpuUtil=82% | Power=190.13/300.00W
[GPU 0] Task=copy_batch_out       | Batch=7 UBatch=0 | Partition=0 Target=True | StartTime=1775005448.393596 | Wall=1.08 ms | CUDA=1.03 ms | ExecWall=1.08 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=9804.89 MB | MaxMem=10157.09 MB | GpuUtil=82% | Power=190.13/300.00W
[GPU 0] Task=copy_batch_out       | Batch=7 UBatch=0 | Partition=0 Target=False | StartTime=1775005448.527210 | Wall=1.49 ms | CUDA=1.36 ms | ExecWall=1.49 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=9706.39 MB | MaxMem=10157.09 MB | GpuUtil=95% | Power=199.91/300.00W
[GPU 0] Task=copy_grad            | Batch=7 UBatch=0 | Partition=0 Target=False | StartTime=1775005447.940122 | Wall=2028.97 ms | CUDA=2028.88 ms | ExecWall=0.00 ms | QWait=3602.14 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=9706.39 MB | MaxMem=10157.09 MB | GpuUtil=10% | Power=103.75/300.00W
[GPU 0] Task=compute_backward     | Batch=7 UBatch=0 | Partition=0 Target=False | StartTime=1775005448.393877 | Wall=1697.48 ms | CUDA=1697.39 ms | ExecWall=1697.48 ms | QWait=0.00 ms | SyncWait=108.59 ms | InjectedSleep=0.00 ms | Mem=501.99 MB | MaxMem=10157.09 MB | GpuUtil=100% | Power=108.95/300.00W
[GPU 0] Task=compute_optimize     | Batch=7 UBatch=0 | Partition=0 Target=False | StartTime=1775005450.106703 | Wall=4.95 ms | CUDA=4.91 ms | ExecWall=4.95 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=568.33 MB | MaxMem=10157.09 MB | GpuUtil=100% | Power=108.95/300.00W

====== Step 8 ======
[GPU 0] Task=copy_batch           | Batch=8 UBatch=0 | Partition=0 Target=True | StartTime=1775005450.039186 | Wall=51.50 ms | CUDA=11.64 ms | ExecWall=51.50 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=1114.99 MB | MaxMem=10157.09 MB | GpuUtil=100% | Power=108.95/300.00W
