
====== Step 1 ======
[GPU 0] Task=copy_model           | Batch=7 UBatch=0 | Partition=0 Target=False | StartTime=1774886770.969368 | Wall=1.19 ms | CUDA=1.14 ms | ExecWall=1.19 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=201.85 MB | MaxMem=1462.80 MB | GpuUtil=41% | Power=215.75/300.00W
[GPU 0] Task=compute_forward      | Batch=7 UBatch=0 | Partition=0 Target=False | StartTime=1774886770.972710 | Wall=7.85 ms | CUDA=7.82 ms | ExecWall=7.85 ms | QWait=0.00 ms | SyncWait=5.56 ms | InjectedSleep=0.00 ms | Mem=1255.86 MB | MaxMem=1462.80 MB | GpuUtil=41% | Power=215.75/300.00W
[GPU 0] Task=copy_batch_out       | Batch=7 UBatch=0 | Partition=0 Target=True | StartTime=1774886770.982919 | Wall=1.29 ms | CUDA=1.16 ms | ExecWall=1.28 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=1255.86 MB | MaxMem=1462.80 MB | GpuUtil=41% | Power=215.75/300.00W
[GPU 0] Task=copy_batch_out       | Batch=7 UBatch=0 | Partition=0 Target=False | StartTime=1774886770.988780 | Wall=17.52 ms | CUDA=1.10 ms | ExecWall=17.51 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=1133.24 MB | MaxMem=1462.80 MB | GpuUtil=41% | Power=215.75/300.00W
[GPU 0] Task=copy_grad            | Batch=7 UBatch=0 | Partition=0 Target=False | StartTime=1774886770.969603 | Wall=616.43 ms | CUDA=616.14 ms | ExecWall=0.00 ms | QWait=1218.90 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=1231.24 MB | MaxMem=1462.80 MB | GpuUtil=54% | Power=215.81/300.00W
[GPU 0] Task=compute_backward     | Batch=7 UBatch=0 | Partition=0 Target=False | StartTime=1774886770.982891 | Wall=618.92 ms | CUDA=618.88 ms | ExecWall=618.92 ms | QWait=0.00 ms | SyncWait=12.06 ms | InjectedSleep=0.00 ms | Mem=177.82 MB | MaxMem=1462.80 MB | GpuUtil=54% | Power=215.81/300.00W
[GPU 0] Task=compute_optimize     | Batch=7 UBatch=0 | Partition=0 Target=False | StartTime=1774886771.604484 | Wall=4.94 ms | CUDA=4.01 ms | ExecWall=4.94 ms | QWait=0.00 ms | SyncWait=1.71 ms | InjectedSleep=0.00 ms | Mem=195.60 MB | MaxMem=1462.80 MB | GpuUtil=54% | Power=215.81/300.00W

====== Step 8 ======
[GPU 0] Task=copy_batch           | Batch=8 UBatch=0 | Partition=0 Target=True | StartTime=1774886771.599932 | Wall=2.12 ms | CUDA=0.00 ms | ExecWall=2.12 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=177.82 MB | MaxMem=1462.80 MB | GpuUtil=54% | Power=215.81/300.00W
